"Error","Code","Description"
"ERRINFO_BADMONITORDATA","4393","The monitorCount field in the Client Monitor Data (section 2.2.1.3.6) is invalid."
"ERRINFO_VCDECOMPRESSEDREASSEMBLEFAILED","4394","The server-side decompression buffer is invalid, or the size of the decompressed VC data exceeds the chunking size specified in the Virtual Channel Capability Set (section 2.2.7.1.10)."
"ERRINFO_VCDATATOOLONG","4395","The size of a received Virtual Channel PDU (section 2.2.6.1) exceeds the chunking size specified in the Virtual Channel Capability Set (section 2.2.7.1.10)."
"ERRINFO_BAD_FRAME_ACK_DATA","4396","There is not enough data to read a TS_FRAME_ACKNOWLEDGE_PDU ([MS-RDPRFX] section 2.2.3.1)."
"ERRINFO_GRAPHICSMODENOTSUPPORTED","4397","The graphics mode requested by the client is not supported by the server."
"ERRINFO_GRAPHICSSUBSYSTEMRESETFAILED","4398","The server-side graphics subsystem failed to reset."
"ERRINFO_GRAPHICSSUBSYSTEMFAILED","4399","The server-side graphics subsystem is in an error state and unable to continue graphics encoding."
"ERRINFO_TIMEZONEKEYNAMELENGTHTOOSHORT","4400","There is not enough data to read the cbDynamicDSTTimeZoneKeyName field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_TIMEZONEKEYNAMELENGTHTOOLONG","4401","The length reported in the cbDynamicDSTTimeZoneKeyName field of the Extended Info Packet (section 2.2.1.11.1.1.1) is too long."
"ERRINFO_DYNAMICDSTDISABLEDFIELDMISSING","4402","The dynamicDaylightTimeDisabled field is not present in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_VCDECODINGERROR","4403","An error occurred when processing dynamic virtual channel data ([MS-RDPEDYC] section 3.3.5)."
"ERRINFO_UPDATESESSIONKEYFAILED","4497","An attempt to update the session keys while using Standard RDP Security mechanisms (section 5.3.7) failed."
"ERRINFO_DECRYPTFAILED","4498","One of two possible error conditions: 
Decryption using Standard RDP Security mechanisms (section 5.3.6) failed. 
Session key creation using Standard RDP Security mechanisms (section 5.3.5) failed."
"ERRINFO_ENCRYPTFAILED","4499","Encryption using Standard RDP Security mechanisms (section 5.3.6) failed."
"ERRINFO_ENCPKGMISMATCH","4500","Failed to find a usable Encryption Method (section 5.3.2) in the encryptionMethods field of the Client Security Data (section 2.2.1.4.3)."
"ERRINFO_DECRYPTFAILED2","4501","Unencrypted data was encountered in a protocol stream which is meant to be encrypted with Standard RDP Security mechanisms (section 5.3.6)."
