Code,URL,Name
0x000000EC,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xec__session_has_valid_special_pool_on_exit.htm,SESSION_HAS_VALID_SPECIAL_POOL_ON_EXIT
0x000000ED,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xed__unmountable_boot_volume.htm,UNMOUNTABLE_BOOT_VOLUME
0x000000EF,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xef__critical_process_died.htm,CRITICAL_PROCESS_DIED
0x000000F1,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf1__scsi_verifier_detected_violation.htm,SCSI_VERIFIER_DETECTED_VIOLATION
0x000000F3,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf3__disorderly_shutdown.htm,DISORDERLY_SHUTDOWN
0x000000F4,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf4__critical_object_termination.htm,CRITICAL_OBJECT_TERMINATION
0x000000F5,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf5__fltmgr_file_system.htm,FLTMGR_FILE_SYSTEM
0x000000F6,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf6__pci_verifier_detected_violation.htm,PCI_VERIFIER_DETECTED_VIOLATION
0x000000F7,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf7__driver_overran_stack_buffer.htm,DRIVER_OVERRAN_STACK_BUFFER
0x000000F8,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf8__ramdisk_boot_initialization_failed.htm,RAMDISK_BOOT_INITIALIZATION_FAILED
0x000000F9,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xf9__driver_returned_status_reparse_for_volume_open.htm,DRIVER_RETURNED_STATUS_REPARSE_FOR_VOLUME_OPEN
